#Title; Description; Frame (Hex format : 18 Bytes / 36 Hex char)
Selftest; Serial user Location Protocol; FFFED0D6E6202820000C29FF51041775302D
Standard Test; ADRASEC02 30/11/2014 N49d16m32s/E3d16m32s; FFFED08e3e0425a8318074fe44b735cd7b46
User protocol KO; Radio call sign (wrong BCH1); FFFED03EF613523F81FE0
User protocol OK; Radio call sign (valid BCH1); FFFED056E6804002202009655250
RLS Location; RLS Location; FFFED08E0D0990014710021963C85C7009F5
PLB Location; PLB Location: National Location; FFFED08E3B15F1DFC0FF07FD1F769F3C0672
RLS Location 2; RLS Location Protocol; FFFED08F4DCBC01ACD004BB10D4E79C4DD86
Std Loc. ELT 24; ELT 24-bit Address Protocol; FFFED096E3AAAAAA7FDFF8211F3583E0FAA8
Standard Location; Standard Location Protocol EPIRB (Serial); FFFED096E61B0CAE7FDFFF0E58B583E0FAA8
PLB Location; PLB Location: National Location; FFFED09F7B00F9E8EC737E5312378A1802B0
EPIRB; Standard Location Protocol EPIRB-MMSI; FFFED0A0D205F260850F3DC9E0B70B6E4FD7
PLB; Standard Location Protocol - PLB (Serial); FFFED0A3E7B10016150D364D8B3689C09437
SAAS; Std. Location ship security protocol (SSAS); FFFED0A5DC19E1A07FDFFE5C803483E0FCCA
ELT 24; Serial user Location (ELT with Aircraft 24-bit Address); FFFED0CE46E76EF8C00C2BAA31CFE0FF0F61
MMSI; Maritime User Protocol MMSI - EPIRB; FFFED0D9D4EB28140AA6893F16A2C67282EC
Float Free EPIRB; Float Free EPIRB with Serial Identification Number; FFFED0DF76A9A9C800174DE27BE1F0277E45
Non Float Free EPIRB; Non Float Free EPIRB with Serial Identification; FFFED0DF77200000001168C610AFE0FF0146
Radio Call Sign; Radio Call Sign - EPIRB; FFFED0E0DDAE599508268E4C05E054651307
ELT Aviation; ELT Aviation User; FFFED0E29325ACB12E938B671E0FE0FF0F61
ELT Aircraft; ELT with Aircraft Operator Designator & Serial Number; FFFED0EDF67B7182038C2F0E10CFE0FF0F61
PLB Serial; Standard Location Protocol - PLB (Serial); FFFED0A157B081437FDFF8B4833783E0F66C
RLS Location; RLS Location Protocol; FFFED096ED09900149D4D467EE0851A3B2E8
Orbitography; Orbitography Protocol (from Toulouse FMCC's LUT); FFFE2FCE3000000000000DBD0E4022417500
ELT 24 2; ELT 24 bits; FFFED08DB345B146202DDF3C71F59BAB7072
Selftest BCH1 ERR; Serial user Location Protocol; FFFED0D7E6202820000C29FF51041775302D
Selftest BCH2 ERR; Serial user Location Protocol; FFFED0D6E6202820000C29FF51041765302D
Selftest BCH12 ERR; Serial user Location Protocol; FFFED0D7E6202820000C29FF51041765302D
Emergency Cap;EPIRB Emergency Capsizeing;FFFED056E68040022021A52B5275
