f=26965000,d=CB CH 01
f=26975000,d=CB CH 02
f=26985000,d=CB CH 03
f=27005000,d=CB CH 04
f=27015000,d=CB CH 05
f=27025000,d=CB CH 06
f=27035000,d=CB CH 07
f=27055000,d=CB CH 08
f=27065000,d=CB CH 09
f=27075000,d=CB CH 10
f=27085000,d=CB CH 11
f=27105000,d=CB CH 12
f=27115000,d=CB CH 13
f=27125000,d=CB CH 14
f=27135000,d=CB CH 15
f=27155000,d=CB CH 16
f=27165000,d=CB CH 17
f=27175000,d=CB CH 18
f=27185000,d=CB CH 19
f=27205000,d=CB CH 20
f=27215000,d=CB CH 21
f=27225000,d=CB CH 22
f=27255000,d=CB CH 23
f=27235000,d=CB CH 24
f=27245000,d=CB CH 25
f=27265000,d=CB CH 26
f=27275000,d=CB CH 27
f=27285000,d=CB CH 28
f=27295000,d=CB CH 29
f=27305000,d=CB CH 30
f=27315000,d=CB CH 31
f=27325000,d=CB CH 32
f=27335000,d=CB CH 33
f=27345000,d=CB CH 34
f=27355000,d=CB CH 35
f=27365000,d=CB CH 36
f=27375000,d=CB CH 37
f=27385000,d=CB CH 38
f=27395000,d=CB CH 39
f=27405000,d=CB CH 40
f=26565000,d=CB CH 41
f=26575000,d=CB CH 42
f=26585000,d=CB CH 43
f=26595000,d=CB CH 44
f=26605000,d=CB CH 45
f=26615000,d=CB CH 46
f=26625000,d=CB CH 47
f=26635000,d=CB CH 48
f=26645000,d=CB CH 49
f=26655000,d=CB CH 50
f=26665000,d=CB CH 51
f=26675000,d=CB CH 52
f=26685000,d=CB CH 53
f=26695000,d=CB CH 54
f=26705000,d=CB CH 55
f=26715000,d=CB CH 56
f=26725000,d=CB CH 57
f=26735000,d=CB CH 58
f=26745000,d=CB CH 59
f=26755000,d=CB CH 60
f=26765000,d=CB CH 61
f=26775000,d=CB CH 62
f=26785000,d=CB CH 63
f=26795000,d=CB CH 64
f=26805000,d=CB CH 65
f=26815000,d=CB CH 66
f=26825000,d=CB CH 67
f=26835000,d=CB CH 68
f=26845000,d=CB CH 69
f=26855000,d=CB CH 70
f=26865000,d=CB CH 71
f=26875000,d=CB CH 72
f=26885000,d=CB CH 73
f=26895000,d=CB CH 74
f=26905000,d=CB CH 75
f=26915000,d=CB CH 76
f=26925000,d=CB CH 77
f=26935000,d=CB CH 78
f=26945000,d=CB CH 79
f=26955000,d=CB CH 80
