f=27865000,d=CB G CH 01
f=27875000,d=CB G CH 02
f=27885000,d=CB G CH 03
f=27895000,d=CB G CH 03A
f=27905000,d=CB G CH 04
f=27915000,d=CB G CH 05
f=27925000,d=CB G CH 06
f=27935000,d=CB G CH 07
f=27945000,d=CB G CH 07A
f=27955000,d=CB G CH 08
f=27965000,d=CB G CH 09
f=27975000,d=CB G CH 10
f=27985000,d=CB G CH 11
f=27995000,d=CB G CH 11A
f=28005000,d=CB G CH 12
f=28015000,d=CB G CH 13
f=28025000,d=CB G CH 14
f=28035000,d=CB G CH 15
f=28045000,d=CB G CH 15A
f=28055000,d=CB G CH 16
f=28065000,d=CB G CH 17
f=28075000,d=CB G CH 18
f=28085000,d=CB G CH 19
f=28095000,d=CB G CH 19A
f=28105000,d=CB G CH 20
f=28115000,d=CB G CH 21
f=28125000,d=CB G CH 22
f=28155000,d=CB G CH 23
f=28135000,d=CB G CH 24
f=28145000,d=CB G CH 25
f=28165000,d=CB G CH 26
f=28175000,d=CB G CH 27
f=28185000,d=CB G CH 28
f=28195000,d=CB G CH 29
f=28205000,d=CB G CH 30
f=28215000,d=CB G CH 31
f=28225000,d=CB G CH 32
f=28235000,d=CB G CH 33
f=28245000,d=CB G CH 34
f=28255000,d=CB G CH 35
f=28265000,d=CB G CH 36
f=28275000,d=CB G CH 37
f=28285000,d=CB G CH 38
f=28295000,d=CB G CH 39
f=28305000,d=CB G CH 40
