f=474000000,d=Channel 21
f=482000000,d=Channel 22
f=490000000,d=Channel 23
f=498000000,d=Channel 24
f=506000000,d=Channel 25
f=514000000,d=Channel 26
f=522000000,d=Channel 27
f=530000000,d=Channel 28
f=538000000,d=Channel 29
f=546000000,d=Channel 30
f=554000000,d=Channel 31
f=562000000,d=Channel 32
f=570000000,d=Channel 33
f=578000000,d=Channel 34
f=586000000,d=Channel 35
f=594000000,d=Channel 36
f=602000000,d=Channel 37
f=610000000,d=Channel 38
f=618000000,d=Channel 39
f=626000000,d=Channel 40
f=634000000,d=Channel 41
f=642000000,d=Channel 42
f=650000000,d=Channel 43
f=658000000,d=Channel 44
f=666000000,d=Channel 45
f=674000000,d=Channel 46
f=682000000,d=Channel 47
f=690000000,d=Channel 48
