a=935000000,b=945000000,d=GSM900 Orange FR
a=1808000000,b=1832000000,d=GSM1800 Orange FR
a=950000000,b=960000000,d=GSM900 SFR FR
a=1832000000,b=1853000000,d=GSM1800 SFR FR
a=925000000,b=935000000,d=GSM900 Bouygues FR
a=1858000000,b=1880000000,d=GSM1800 Bouygues FR
a=945000000,b=950000000,d=GSM Free FR
a=921000000,b=925000000,d=GSM-R FR
a=1880000000,b=1900000000,d=DECT
a=162930000,b=162970000,d=PMV AFSK
a=433050000,b=434790000,d=ISM 433
a=868000000,b=868200000,d=ISM 868
a=1574920000,b=1575920000,d=GPS L1
a=1226600000,b=1228600000,d=GPS L2
a=2401000000,b=2423000000,d=WLAN 2.4G CH1
a=2406000000,b=2428000000,d=WLAN 2.4G CH2
a=2411000000,b=2433000000,d=WLAN 2.4G CH3
a=2416000000,b=2438000000,d=WLAN 2.4G CH4
a=2421000000,b=2443000000,d=WLAN 2.4G CH5
a=2426000000,b=2448000000,d=WLAN 2.4G CH6
a=2431000000,b=2453000000,d=WLAN 2.4G CH7
a=2436000000,b=2458000000,d=WLAN 2.4G CH8
a=2441000000,b=2463000000,d=WLAN 2.4G CH9
a=2446000000,b=2468000000,d=WLAN 2.4G CH10
a=2451000000,b=2473000000,d=WLAN 2.4G CH11
a=2456000000,b=2478000000,d=WLAN 2.4G CH12
a=2461000000,b=2483000000,d=WLAN 2.4G CH13
a=5170000000,b=5190000000,d=WLAN 5G CH36
a=5170000000,b=5210000000,d=WLAN 5G CH38
a=5190000000,b=5210000000,d=WLAN 5G CH40
a=5170000000,b=5250000000,d=WLAN 5G CH42
a=5210000000,b=5230000000,d=WLAN 5G CH44
a=5210000000,b=5250000000,d=WLAN 5G CH46
a=5230000000,b=5250000000,d=WLAN 5G CH48
a=5170000000,b=5330000000,d=WLAN 5G CH50
a=5250000000,b=5270000000,d=WLAN 5G CH52
a=5250000000,b=5290000000,d=WLAN 5G CH54
a=5270000000,b=5290000000,d=WLAN 5G CH56
a=5250000000,b=5330000000,d=WLAN 5G CH58
a=5290000000,b=5310000000,d=WLAN 5G CH60
a=5290000000,b=5330000000,d=WLAN 5G CH62
a=5310000000,b=5330000000,d=WLAN 5G CH64
a=5490000000,b=5510000000,d=WLAN 5G CH100
a=5490000000,b=5530000000,d=WLAN 5G CH102
a=5510000000,b=5530000000,d=WLAN 5G CH104
a=5490000000,b=5570000000,d=WLAN 5G CH106
a=5530000000,b=5550000000,d=WLAN 5G CH108
a=5530000000,b=5570000000,d=WLAN 5G CH110
a=5550000000,b=5570000000,d=WLAN 5G CH112
a=5490000000,b=5650000000,d=WLAN 5G CH114
a=5570000000,b=5590000000,d=WLAN 5G CH116
a=5570000000,b=5610000000,d=WLAN 5G CH118
a=5590000000,b=5610000000,d=WLAN 5G CH120
a=5570000000,b=5650000000,d=WLAN 5G CH122
a=5610000000,b=5630000000,d=WLAN 5G CH124
a=5610000000,b=5650000000,d=WLAN 5G CH126
a=5630000000,b=5650000000,d=WLAN 5G CH128
a=5650000000,b=5670000000,d=WLAN 5G CH132
a=5650000000,b=5690000000,d=WLAN 5G CH134
a=5670000000,b=5690000000,d=WLAN 5G CH136
a=5650000000,b=5730000000,d=WLAN 5G CH138
a=5690000000,b=5710000000,d=WLAN 5G CH140
a=5690000000,b=5730000000,d=WLAN 5G CH142
a=5710000000,b=5730000000,d=WLAN 5G CH144
a=5735000000,b=5755000000,d=WLAN 5G CH149
a=5735000000,b=5775000000,d=WLAN 5G CH151
a=5755000000,b=5775000000,d=WLAN 5G CH153
a=5735000000,b=5815000000,d=WLAN 5G CH155
a=5775000000,b=5795000000,d=WLAN 5G CH157
a=5775000000,b=5815000000,d=WLAN 5G CH159
a=5795000000,b=5815000000,d=WLAN 5G CH161
a=5815000000,b=5835000000,d=WLAN 5G CH165
a=5835000000,b=5855000000,d=WLAN 5G CH169
a=5855000000,b=5875000000,d=WLAN 5G CH173
