a=935000000,b=945000000,d=GSM900 Orange FR
a=1808000000,b=1832000000,d=GSM1800 Orange FR
a=950000000,b=960000000,d=GSM900 SFR FR
a=1832000000,b=1853000000,d=GSM1800 SFR FR
a=925000000,b=935000000,d=GSM900 Bouygues FR
a=1858000000,b=1880000000,d=GSM1800 Bouygues FR
a=945000000,b=950000000,d=GSM Free FR
a=921000000,b=925000000,d=GSM-R FR
a=1880000000,b=1900000000,d=DECT
a=162930000,b=162970000,d=PMV AFSK
a=433050000,b=434790000,d=ISM 433
a=868000000,b=868200000,d=ISM 868
a=1574920000,b=1575920000,d=GPS L1
a=1226600000,b=1228600000,d=GPS L2
a=1175450000,b=1177450000,d=GPS L5
