f=433075000,d=LPD433 CH1
f=433100000,d=LPD433 CH2
f=433125000,d=LPD433 CH3
f=433150000,d=LPD433 CH4
f=433175000,d=LPD433 CH5
f=433200000,d=LPD433 CH6
f=433225000,d=LPD433 CH7
f=433250000,d=LPD433 CH8
f=433275000,d=LPD433 CH9
f=433300000,d=LPD433 CH10
f=433325000,d=LPD433 CH11
f=433350000,d=LPD433 CH12
f=433375000,d=LPD433 CH13
f=433400000,d=LPD433 CH14
f=433425000,d=LPD433 CH15
f=433450000,d=LPD433 CH16
f=433475000,d=LPD433 CH17
f=433500000,d=LPD433 CH18
f=433525000,d=LPD433 CH19
f=433550000,d=LPD433 CH20
f=433575000,d=LPD433 CH21
f=433600000,d=LPD433 CH22
f=433625000,d=LPD433 CH23
f=433650000,d=LPD433 CH24
f=433675000,d=LPD433 CH25
f=433700000,d=LPD433 CH26
f=433725000,d=LPD433 CH27
f=433750000,d=LPD433 CH28
f=433775000,d=LPD433 CH29
