f=433075000,d=LPD433 CH1
f=433100000,d=LPD433 CH2
f=433125000,d=LPD433 CH3
f=433150000,d=LPD433 CH4
f=433175000,d=LPD433 CH5
f=433200000,d=LPD433 CH6
f=433225000,d=LPD433 CH7
f=433250000,d=LPD433 CH8
f=433275000,d=LPD433 CH9
f=433300000,d=LPD433 CH10
f=433325000,d=LPD433 CH11
f=433350000,d=LPD433 CH12
f=433375000,d=LPD433 CH13
f=433400000,d=LPD433 CH14
f=433425000,d=LPD433 CH15
f=433450000,d=LPD433 CH16
f=433475000,d=LPD433 CH17
f=433500000,d=LPD433 CH18
f=433525000,d=LPD433 CH19
f=433550000,d=LPD433 CH20
f=433575000,d=LPD433 CH21
f=433600000,d=LPD433 CH22
f=433625000,d=LPD433 CH23
f=433650000,d=LPD433 CH24
f=433675000,d=LPD433 CH25
f=433700000,d=LPD433 CH26
f=433725000,d=LPD433 CH27
f=433750000,d=LPD433 CH28
f=433775000,d=LPD433 CH29
f=433800000,d=LPD433 CH30
f=433825000,d=LPD433 CH31
f=433850000,d=LPD433 CH32
f=433875000,d=LPD433 CH33
f=433900000,d=LPD433 CH34
f=433925000,d=LPD433 CH35
f=433950000,d=LPD433 CH36
f=433975000,d=LPD433 CH37
f=434000000,d=LPD433 CH38
f=434025000,d=LPD433 CH39
f=434050000,d=LPD433 CH40
f=434075000,d=LPD433 CH41
f=434100000,d=LPD433 CH42
f=434125000,d=LPD433 CH43
f=434150000,d=LPD433 CH44
f=434175000,d=LPD433 CH45
f=434200000,d=LPD433 CH46
f=434225000,d=LPD433 CH47
f=434250000,d=LPD433 CH48
f=434275000,d=LPD433 CH49
f=434300000,d=LPD433 CH50
f=434325000,d=LPD433 CH51
f=434350000,d=LPD433 CH52
f=434375000,d=LPD433 CH53
f=434400000,d=LPD433 CH54
f=434425000,d=LPD433 CH55
f=434450000,d=LPD433 CH56
f=434475000,d=LPD433 CH57
f=434500000,d=LPD433 CH58
f=434525000,d=LPD433 CH59
f=434550000,d=LPD433 CH60
f=434575000,d=LPD433 CH61
f=434600000,d=LPD433 CH62
f=434625000,d=LPD433 CH63
f=434650000,d=LPD433 CH64
f=434675000,d=LPD433 CH65
f=434700000,d=LPD433 CH66
f=434725000,d=LPD433 CH67
f=434750000,d=LPD433 CH68
f=434775000,d=LPD433 CH69
