f=457700000,d=CH1 IN
f=467650000,d=CH1 OUT1
f=467700000,d=CH1 OUT2
f=467750000,d=CH1 OUT3
f=457825000,d=CH2 IN
f=467775000,d=CH2 OUT1
f=467825000,d=CH2 OUT2
f=467875000,d=CH2 OUT3
f=457925000,d=CH3 IN
f=467875000,d=CH3 OUT1
f=467925000,d=CH3 OUT2
f=467975000,d=CH3 OUT3
f=458000000,d=CH4 IN
f=467950000,d=CH4 OUT1
f=468000000,d=CH4 OUT2
f=468050000,d=CH4 OUT3
f=457675000,d=CH5 IN
f=467625000,d=CH5 OUT1
f=467675000,d=CH5 OUT2
f=467725000,d=CH5 OUT3    
f=457750000,d=CH6 IN
f=467700000,d=CH6 OUT1
f=467750000,d=CH6 OUT2
f=467800000,d=CH6 OUT3
f=457800000,d=CH7 IN
f=467750000,d=CH7 OUT1
f=467800000,d=CH7 OUT2
f=467850000,d=CH7 OUT3
