f=400500000,d=AU SE
f=401000000,d=FR
f=401100000,d=CZ
f=401400000,d=FR
f=401500000,d=AU
f=401590000,d=FR
f=401600000,d=FR
f=402000000,d=BR FR GR IT RS
f=402010000,d=TR
f=402200000,d=GR
f=402500000,d=AU DE
f=402740000,d=GR
f=402790000,d=RS
f=402800000,d=GB IT RS
f=402870000,d=BE
f=403000000,d=BE BR CZ HU IE IT NL
f=403010000,d=DE NL TR
f=403150000,d=DE
f=403200000,d=HU
f=403500000,d=BE HU
f=403530000,d=BY
f=403600000,d=RO
f=403700000,d=BR GB
f=403820000,d=RO
f=403900000,d=NL
f=403920000,d=RO
f=403810000,d=DE
f=404000000,d=BR CZ ES IT US
f=404010000,d=US
f=404020000,d=US
f=404100000,d=GB
f=404300000,d=DE
f=404310000,d=DE
f=404380000,d=GB
f=404400000,d=GB
f=404710000,d=DE
f=404800000,d=IT
f=405000000,d=ES
f=405010000,d=FR
f=405030000,d=BY
f=405100000,d=GB
f=405300000,d=BY ES IE SE
f=405600000,d=GB
f=405680000,d=GB
f=405700000,d=DE GB
f=405900000,d=DE
