# https://www.fcc.gov/wireless/bureau-divisions/mobility-division/paging

# Lower Paging Bands - Unpaired
f=35200000,d=USA LPB-CA
f=35220000,d=USA LPB-CB
f=35240000,d=USA LPB-CC
f=35260000,d=USA LPB-CD
f=35300000,d=USA LPB-CE
f=35340000,d=USA LPB-CF
f=35380000,d=USA LPB-CG
f=35420000,d=USA LPB-CH
f=35460000,d=USA LPB-CI
f=35500000,d=USA LPB-CJ
f=35540000,d=USA LPB-CK
f=35560000,d=USA LPB-CL
f=35580000,d=USA LPB-CM
f=35600000,d=USA LPB-CN
f=35620000,d=USA LPB-CO
f=35660000,d=USA LPB-CP

f=43200000,d=USA LPB-DA
f=43220000,d=USA LPB-DB
f=43240000,d=USA LPB-DC
f=43260000,d=USA LPB-DD
f=43300000,d=USA LPB-DE
f=43340000,d=USA LPB-DF
f=43380000,d=USA LPB-DG
f=43420000,d=USA LPB-DH
f=43460000,d=USA LPB-DI
f=43500000,d=USA LPB-DJ
f=43540000,d=USA LPB-DK
f=43560000,d=USA LPB-DL
f=43580000,d=USA LPB-DM
f=43600000,d=USA LPB-DN
f=43620000,d=USA LPB-DO
f=43660000,d=USA LPB-DP
f=152240000,d=USA LPB-EA
f=152800000,d=USA LPB-EB
f=158100000,d=USA LPB-EC
f=158700000,d=USA LPB-ED

# Lower Paging Bands - Paired
f=152030000,d=USA LPB-FA1
f=152060000,d=USA LPB-FB1
f=152090000,d=USA LPB-FC1
f=152120000,d=USA LPB-FD1
f=152150000,d=USA LPB-FE1
f=152180000,d=USA LPB-FF1
f=152210000,d=USA LPB-FG1
f=152510000,d=USA LPB-FH1
f=152540000,d=USA LPB-FI1
f=152570000,d=USA LPB-FJ1
f=152600000,d=USA LPB-FK1
f=152630000,d=USA LPB-FL1
f=152660000,d=USA LPB-FM1
f=152690000,d=USA LPB-FN1
f=152720000,d=USA LPB-FO1
f=152750000,d=USA LPB-FP1
f=152780000,d=USA LPB-FQ1
f=152810000,d=USA LPB-FR1

f=158490000,d=USA LPB-FA2
f=158520000,d=USA LPB-FB2
f=158550000,d=USA LPB-FC2
f=158580000,d=USA LPB-FD2
f=158610000,d=USA LPB-FE2
