r=160650000,t=156050000,d=VHF CH01
r=160700000,t=156100000,d=VHF CH02
r=160750000,t=156150000,d=VHF CH03
r=160800000,t=156200000,d=VHF CH04
r=160850000,t=156250000,d=VHF CH05
r=156300000,t=156300000,d=VHF CH06
r=160950000,t=156350000,d=VHF CH07
r=156400000,t=156400000,d=VHF CH08
r=156450000,t=156450000,d=VHF CH09
r=156500000,t=156500000,d=VHF CH10
r=156550000,t=156550000,d=VHF CH11
r=156600000,t=156600000,d=VHF CH12
r=156650000,t=156650000,d=VHF CH13
r=156700000,t=156700000,d=VHF CH14
r=156750000,t=156750000,d=VHF CH15
r=156800000,t=156800000,d=VHF CH16
r=156850000,t=156850000,d=VHF CH17
r=161500000,t=156900000,d=VHF CH18
r=161550000,t=156950000,d=VHF CH19
r=161600000,t=157000000,d=VHF CH20
r=161650000,t=157050000,d=VHF CH21
r=161700000,t=157100000,d=VHF CH22
r=161750000,t=157150000,d=VHF CH23
r=161800000,t=157200000,d=VHF CH24
r=161850000,t=157250000,d=VHF CH25
r=161900000,t=157300000,d=VHF CH26
r=161950000,t=157350000,d=VHF CH27
r=162000000,t=157400000,d=VHF CH28
r=160625000,t=156025000,d=VHF CH60
r=160675000,t=156075000,d=VHF CH61
r=160725000,t=156125000,d=VHF CH62
r=160775000,t=156175000,d=VHF CH63
r=160825000,t=156225000,d=VHF CH64
r=160875000,t=156275000,d=VHF CH65
r=160925000,t=156325000,d=VHF CH66
r=156375000,t=156375000,d=VHF CH67
r=156425000,t=156425000,d=VHF CH68
r=156475000,t=156475000,d=VHF CH69
r=156525000,t=156525000,d=VHF CH70
r=156575000,t=156575000,d=VHF CH71
r=156625000,t=156625000,d=VHF CH72
r=156675000,t=156675000,d=VHF CH73
r=156725000,t=156725000,d=VHF CH74
r=156775000,t=156775000,d=VHF CH75
r=156825000,t=156825000,d=VHF CH76
r=156875000,t=156875000,d=VHF CH77
r=161525000,t=156925000,d=VHF CH78
r=161575000,t=156975000,d=VHF CH79
r=161625000,t=157025000,d=VHF CH80
r=161675000,t=157075000,d=VHF CH81
r=161725000,t=157125000,d=VHF CH82
r=161775000,t=157175000,d=VHF CH83
r=161825000,t=157225000,d=VHF CH84
r=161875000,t=157275000,d=VHF CH85
r=161925000,t=157325000,d=VHF CH86
r=157375000,t=157375000,d=VHF CH87
r=157425000,t=157425000,d=VHF CH88
