f=27415000,d=CB F CH 01
f=27425000,d=CB F CH 02
f=27435000,d=CB F CH 03
f=27445000,d=CB F CH 03A
f=27455000,d=CB F CH 04
f=27465000,d=CB F CH 05
f=27475000,d=CB F CH 06
f=27485000,d=CB F CH 07
f=27495000,d=CB F CH 07A
f=27505000,d=CB F CH 08
f=27515000,d=CB F CH 09
f=27525000,d=CB F CH 10
f=27535000,d=CB F CH 11
f=27545000,d=CB F CH 11A
f=27555000,d=CB F CH 12
f=27565000,d=CB F CH 13
f=27575000,d=CB F CH 14
f=27585000,d=CB F CH 15
f=27595000,d=CB F CH 15A
f=27605000,d=CB F CH 16
f=27615000,d=CB F CH 17
f=27625000,d=CB F CH 18
f=27635000,d=CB F CH 19
f=27645000,d=CB F CH 19A
f=27655000,d=CB F CH 20
f=27665000,d=CB F CH 21
f=27675000,d=CB F CH 22
f=27705000,d=CB F CH 23
f=27685000,d=CB F CH 24
f=27695000,d=CB F CH 25
f=27715000,d=CB F CH 26
f=27725000,d=CB F CH 27
f=27735000,d=CB F CH 28
f=27745000,d=CB F CH 29
f=27755000,d=CB F CH 30
f=27765000,d=CB F CH 31
f=27775000,d=CB F CH 32
f=27785000,d=CB F CH 33
f=27795000,d=CB F CH 34
f=27805000,d=CB F CH 35
f=27815000,d=CB F CH 36
f=27825000,d=CB F CH 37
f=27835000,d=CB F CH 38
f=27845000,d=CB F CH 39
f=27855000,d=CB F CH 40
