f=28315000,d=CB H CH 01
f=28325000,d=CB H CH 02
f=28335000,d=CB H CH 03
f=28345000,d=CB H CH 03A
f=28355000,d=CB H CH 04
f=28365000,d=CB H CH 05
f=28375000,d=CB H CH 06
f=28385000,d=CB H CH 07
f=28395000,d=CB H CH 07A
f=28405000,d=CB H CH 08
f=28415000,d=CB H CH 09
f=28425000,d=CB H CH 10
f=28435000,d=CB H CH 11
f=28445000,d=CB H CH 11A
f=28455000,d=CB H CH 12
f=28465000,d=CB H CH 13
f=28475000,d=CB H CH 14
f=28485000,d=CB H CH 15
f=28495000,d=CB H CH 15A
f=28505000,d=CB H CH 16
f=28515000,d=CB H CH 17
f=28525000,d=CB H CH 18
f=28535000,d=CB H CH 19
f=28545000,d=CB H CH 19A
f=28555000,d=CB H CH 20
f=28565000,d=CB H CH 21
f=28575000,d=CB H CH 22
f=28605000,d=CB H CH 23
f=28585000,d=CB H CH 24
f=28595000,d=CB H CH 25
f=28615000,d=CB H CH 26
f=28625000,d=CB H CH 27
f=28635000,d=CB H CH 28
f=28645000,d=CB H CH 29
f=28655000,d=CB H CH 30
f=28665000,d=CB H CH 31
f=28675000,d=CB H CH 32
f=28685000,d=CB H CH 33
f=28695000,d=CB H CH 34
f=28705000,d=CB H CH 35
f=28715000,d=CB H CH 36
f=28725000,d=CB H CH 37
f=28735000,d=CB H CH 38
f=28745000,d=CB H CH 39
f=28755000,d=CB H CH 40
