f=446003125,d=dPMR446 CH1
f=446009375,d=dPMR446 CH2
f=446015625,d=dPMR446 CH3
f=446021875,d=dPMR446 CH4
f=446028125,d=dPMR446 CH5
f=446034375,d=dPMR446 CH6
f=446040625,d=dPMR446 CH7
f=446046875,d=dPMR446 CH8
f=446053125,d=dPMR446 CH9
f=446059375,d=dPMR446 CH10
f=446065625,d=dPMR446 CH11
f=446071875,d=dPMR446 CH12
f=446078125,d=dPMR446 CH13
f=446084375,d=dPMR446 CH14
f=446090625,d=dPMR446 CH15
f=446096875,d=dPMR446 CH16
f=446103125,d=dPMR446 CH17
f=446109375,d=dPMR446 CH18
f=446115625,d=dPMR446 CH19
f=446121875,d=dPMR446 CH20
f=446128125,d=dPMR446 CH21
f=446134375,d=dPMR446 CH22
f=446140625,d=dPMR446 CH23
f=446146875,d=dPMR446 CH24
f=446153125,d=dPMR446 CH25
f=446159375,d=dPMR446 CH26
f=446165625,d=dPMR446 CH27
f=446171875,d=dPMR446 CH28
f=446178125,d=dPMR446 CH29
f=446184375,d=dPMR446 CH30
f=446190625,d=dPMR446 CH31
f=446196875,d=dPMR446 CH32
