a=703000000,b=708000000,d=LTE 700u SFR
a=708000000,b=718000000,d=LTE 700u Orange
a=718000000,b=723000000,d=LTE 700u Bouygues
a=723000000,b=733000000,d=LTE 700u Free
a=758000000,b=763000000,d=LTE 700d SFR
a=763000000,b=773000000,d=LTE 700d Orange
a=773000000,b=778000000,d=LTE 700d Bouygues
a=778000000,b=788000000,d=LTE 700d Free
a=791000000,b=801000000,d=LTE 800d Bouygues
a=801000000,b=811000000,d=LTE 800d SFR
a=811000000,b=821000000,d=LTE 800d Orange
a=832000000,b=842000000,d=LTE 800u Bouygues
a=842000000,b=852000000,d=LTE 800u SFR
a=852000000,b=862000000,d=LTE 800u Orange
a=876000000,b=880000000,d=GSM-R 900u RFF
a=880100000,b=889900000,d=GSM_UMTS 900u Bouygues
a=889900000,b=898600000,d=GSM_UMTS 900u Orange
a=898600000,b=906200000,d=GSM_UMTS 900u Free
a=906200000,b=914900000,d=GSM_UMTS 900u SFR
a=921000000,b=925000000,d=GSM-R 900d RFF
a=925100000,b=934900000,d=GSM_UMTS 900d Bouygues
a=934900000,b=943600000,d=GSM_UMTS 900d Orange
a=943600000,b=951200000,d=GSM_UMTS 900d Free
a=951200000,b=959900000,d=GSM_UMTS 900d SFR
a=1710000000,b=1730000000,d=GSM_LTE 1800u Orange
a=1730000000,b=1750000000,d=GSM_LTE 1800u SFR
a=1750000000,b=1765000000,d=GSM_LTE 1800u Free
a=1765000000,b=1785000000,d=GSM_LTE 1800u Bouygues
a=1805000000,b=1825000000,d=GSM_LTE 1800d Orange
a=1825000000,b=1845000000,d=GSM_LTE 1800d SFR
a=1845000000,b=1860000000,d=GSM_LTE 1800d Free
a=1860000000,b=1880000000,d=GSM_LTE 1800d Bouygues
a=1900100000,b=1905100000,d=UMTS_TDD 1900 Bouygues
a=1920500000,b=1935300000,d=GSM_UMTS 2100u SFR
a=1935300000,b=1950100000,d=GSM_UMTS 2100u Bouygues
a=1950100000,b=1964900000,d=GSM_UMTS 2100u Free
a=1964900000,b=1979700000,d=GSM_UMTS 2100u Orange
a=2110500000,b=2125300000,d=GSM_UMTS 2100d SFR
a=2125300000,b=2140100000,d=GSM_UMTS 2100d Bouygues
a=2140100000,b=2154900000,d=GSM_UMTS 2100d Free
a=2154900000,b=2169700000,d=GSM_UMTS 2100d Orange
a=2500000000,b=2515000000,d=LTE 2600u SFR
a=2515000000,b=2535000000,d=LTE 2600u Orange
a=2535000000,b=2550000000,d=LTE 2600u Bouygues
a=2550000000,b=2570000000,d=LTE 2600u Free
a=2620000000,b=2635000000,d=LTE 2600d SFR
a=2635000000,b=2655000000,d=LTE 2600d Orange
a=2655000000,b=2670000000,d=LTE 2600d Bouygues
a=2670000000,b=2690000000,d=LTE 2600d Free
a=3490000000,b=3570000000,d=5G 3500 SFR
a=3570000000,b=3640000000,d=5G 3500 Bouygues
a=3640000000,b=3710000000,d=5G 3500 Free
a=3710000000,b=3800000000,d=5G 3500 Orange
