a=2401000000,b=2423000000,d=WLAN 2.4G CH1
a=2406000000,b=2428000000,d=WLAN 2.4G CH2
a=2411000000,b=2433000000,d=WLAN 2.4G CH3
a=2416000000,b=2438000000,d=WLAN 2.4G CH4
a=2421000000,b=2443000000,d=WLAN 2.4G CH5
a=2426000000,b=2448000000,d=WLAN 2.4G CH6
a=2431000000,b=2453000000,d=WLAN 2.4G CH7
a=2436000000,b=2458000000,d=WLAN 2.4G CH8
a=2441000000,b=2463000000,d=WLAN 2.4G CH9
a=2446000000,b=2468000000,d=WLAN 2.4G CH10
a=2451000000,b=2473000000,d=WLAN 2.4G CH11
a=2456000000,b=2478000000,d=WLAN 2.4G CH12
a=2461000000,b=2483000000,d=WLAN 2.4G CH13
a=2473000000,b=2495000000,d=WLAN 2.4G CH14
