f=25615000,d=CB B CH 01
f=25625000,d=CB B CH 02
f=25635000,d=CB B CH 03
f=25645000,d=CB B CH 03A
f=25655000,d=CB B CH 04
f=25665000,d=CB B CH 05
f=25675000,d=CB B CH 06
f=25685000,d=CB B CH 07
f=25695000,d=CB B CH 07A
f=25705000,d=CB B CH 08
f=25715000,d=CB B CH 09
f=25725000,d=CB B CH 10
f=25735000,d=CB B CH 11
f=25745000,d=CB B CH 11A
f=25755000,d=CB B CH 12
f=25765000,d=CB B CH 13
f=25775000,d=CB B CH 14
f=25785000,d=CB B CH 15
f=25795000,d=CB B CH 15A
f=25805000,d=CB B CH 16
f=25815000,d=CB B CH 17
f=25825000,d=CB B CH 18
f=25835000,d=CB B CH 19
f=25845000,d=CB B CH 19A
f=25855000,d=CB B CH 20
f=25865000,d=CB B CH 21
f=25875000,d=CB B CH 22
f=25905000,d=CB B CH 23
f=25885000,d=CB B CH 24
f=25895000,d=CB B CH 25
f=25915000,d=CB B CH 26
f=25925000,d=CB B CH 27
f=25935000,d=CB B CH 28
f=25945000,d=CB B CH 29
f=25955000,d=CB B CH 30
f=25965000,d=CB B CH 31
f=25975000,d=CB B CH 32
f=25985000,d=CB B CH 33
f=25995000,d=CB B CH 34
f=26005000,d=CB B CH 35
f=26015000,d=CB B CH 36
f=26025000,d=CB B CH 37
f=26035000,d=CB B CH 38
f=26045000,d=CB B CH 39
f=26055000,d=CB B CH 40
