f=28765000,d=CB I CH 01
f=28775000,d=CB I CH 02
f=28785000,d=CB I CH 03
f=28795000,d=CB I CH 03A
f=28805000,d=CB I CH 04
f=28815000,d=CB I CH 05
f=28825000,d=CB I CH 06
f=28835000,d=CB I CH 07
f=28845000,d=CB I CH 07A
f=28855000,d=CB I CH 08
f=28865000,d=CB I CH 09
f=28875000,d=CB I CH 10
f=28885000,d=CB I CH 11
f=28895000,d=CB I CH 11A
f=28905000,d=CB I CH 12
f=28915000,d=CB I CH 13
f=28925000,d=CB I CH 14
f=28935000,d=CB I CH 15
f=28945000,d=CB I CH 15A
f=28955000,d=CB I CH 16
f=28965000,d=CB I CH 17
f=28975000,d=CB I CH 18
f=28985000,d=CB I CH 19
f=28995000,d=CB I CH 19A
f=29005000,d=CB I CH 20
f=29015000,d=CB I CH 21
f=29025000,d=CB I CH 22
f=29055000,d=CB I CH 23
f=29035000,d=CB I CH 24
f=29045000,d=CB I CH 25
f=29065000,d=CB I CH 26
f=29075000,d=CB I CH 27
f=29085000,d=CB I CH 28
f=29095000,d=CB I CH 29
f=29105000,d=CB I CH 30
f=29115000,d=CB I CH 31
f=29125000,d=CB I CH 32
f=29135000,d=CB I CH 33
f=29145000,d=CB I CH 34
f=29155000,d=CB I CH 35
f=29165000,d=CB I CH 36
f=29175000,d=CB I CH 37
f=29185000,d=CB I CH 38
f=29195000,d=CB I CH 39
f=29205000,d=CB I CH 40
