a=703000000,b=713000000,d=5G 700u Vodafone
a=713000000,b=723000000,d=5G 700u KPN
a=723000000,b=733000000,d=5G 700u T-Mobile
a=758000000,b=768000000,d=5G 700d Vodafone
a=768000000,b=778000000,d=5G 700d KPN
a=778000000,b=788000000,d=5G 700d T-Mobile
a=791000000,b=801000000,d=4G 800d T-Mobile
a=801000000,b=811000000,d=4G 800d Vodafone
a=811000000,b=821000000,d=4G 800d KPN
a=832000000,b=842000000,d=4G 800u T-Mobile
a=842000000,b=852000000,d=4G 800u Vodafone
a=852000000,b=862000000,d=4G 800u KPN
a=880000000,b=890000000,d=2G_3G 900u Vodafone
a=890000000,b=900000000,d=2G_3G 900u KPN
a=900000000,b=915000000,d=4G 900u T-Mobile
a=925000000,b=935000000,d=2G_3G 900d Vodafone
a=935000000,b=945000000,d=2G_3G 900d KPN
a=945000000,b=960000000,d=4G 900d T-Mobile
a=1452000000,b=1467000000,d=2G_3G 1400d Vodafone
a=1467000000,b=1482000000,d=2G_3G 1400d KPN
a=1482000000,b=1492000000,d=4G 1400d T-Mobile
a=1710000000,b=1730000000,d=4G 1800u KPN
a=1730000000,b=1750000000,d=4G 1800u Vodafone
a=1750000000,b=1780000000,d=4G 1800u T-Mobile
a=1805000000,b=1825000000,d=4G 1800d KPN
a=1825000000,b=1845000000,d=4G 1800d Vodafone
a=1845000000,b=1875000000,d=4G 1800d T-Mobile
a=1920000000,b=1940000000,d=3G_4G 2100u Vodafone
a=1940000000,b=1960000000,d=3G_4G 2100u T-Mobile
a=1960000000,b=1980000000,d=3G_4G 2100u KPN
a=2110000000,b=2130000000,d=3G_4G 2100d Vodafone
a=2130000000,b=2150000000,d=3G_4G 2100d T-Mobile
a=2150000000,b=2170000000,d=3G_4G 2100d KPN
a=2500000000,b=2510000000,d=LTE 2600u Vodafone
a=2510000000,b=2530000000,d=LTE 2600u Vodafone
a=2530000000,b=2535000000,d=LTE 2600u T-Mobile
a=2535000000,b=2545000000,d=LTE 2600u KPN
a=2545000000,b=2565000000,d=LTE 2600u T-Mobile
a=2565000000,b=2590000000,d=4G 2600d_u T-Mobile
a=2590000000,b=2620000000,d=4G 2600d_u KPN
a=2620000000,b=2630000000,d=LTE 2600d Vodafone
a=2630000000,b=2650000000,d=LTE 2600d Vodafone
a=2650000000,b=2655000000,d=LTE 2600d T-Mobile
a=2655000000,b=2665000000,d=LTE 2600d KPN
a=2665000000,b=2685000000,d=LTE 2600d T-Mobile
a=2685000000,b=2690000000,d=UNKNOWNd_u 2600 T-Mobile
